Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"Cidade N' Aldeia";"Outro";"Póvoa de Lanhoso";"1,880 €";"CIDADE N'ALDEIA";"Gasolina especial 98";"2021-10-12 11:00";"Braga";"Rua de Porto d'Ave";"Taíde - Cidade N'Aldeia";"4830-755";41.56111;-8.22226
"E.S. ENTRE-OS-RIOS";"Outro";"Penafiel";"1,304 €";"REPSOL";"Gasóleo colorido";"2022-02-28 00:00";"Porto";"Lugar da Torre";"Portela";"4575-000";41.10232;-8.29227
"PD CORUCHE";"Outro";"Coruche";"2,121 €";"PINGO DOCE";"Gasolina 98";"2022-07-01 11:00";"Santarém";"EN 114";"Santo Antonino";"2100-048";38.96553;-8.53289
"E.S. ALCOCHETE";"Outro";"Alcochete";"1,219 €";"REPSOL";"Gasóleo colorido";"2023-04-03 00:00";"Setúbal";"Rotunda Alcochete";"Alcochete";"2890-164";38.7456;-8.93078
"Barreirinho - Abraveses";"Outro";"Viseu";"1,549 €";"Genérico";"Gasolina 98";"2023-10-04 15:45";"Viseu";"Av. Tenente Coronel Silva Simões, 156";"Abraveses";"3515-150";40.68313;-7.91929
"E.S. VALEGA A";"Outro";"Ovar";"1,449 €";"REPSOL";"Gasóleo colorido";"2023-10-16 00:00";"Aveiro";"EN 109 Km 39,5";"Areeiro - Válega - Ovar";"3880-000";40.82543;-8.57965
"PRIO Coimbrão";"Outro";"Leiria";"1,699 €";"PRIO";"Gasóleo simples";"2024-02-19 10:15";"Leiria";"EN 109-9 Km 3,4";"Salgueira";"2425-452";39.894387;-8.871528
"Matéria Essencial";"Outro";"Odemira";"2,300 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2024-04-02 07:00";"Beja";"Estrada Municipal 532 - Corte Pinheiro";"São Luis";"7630-440";37.71869;-8.66728
"A24 Viseu (Norte)";"Auto-estrada";"Viseu";"1,654 €";"Genérico";"Biodiesel B15";"2024-04-09 00:05";"Viseu";"A24 Lanço Castro Daire Sul/Nó com IP5";"Campo";"3515-512";40.7075;-7.943055
"BP TERROSO";"Outro";"Póvoa de Varzim";"2,398 €";"BP";"Gasolina de mistura (motores a 2 tempos)";"2024-07-30 22:30";"Porto";"Rua da Estrada Nova nº 837";"Terroso";"4495-524";41.41102;-8.73914
"BP Cabaços JMGracio";"Outro";"Alvaiázere";"2,029 €";"BP";"Gasolina especial 98";"2024-08-05 07:00";"Leiria";"R. Conselheiro José Eduardo Simões";"Cabaços";"3250-359";39.80565;-8.34787
"MARQUES & FILHO - ÉVORA";"Outro";"Évora";"1,999 €";"GALP";"Gasolina especial 98";"2024-08-07 00:05";"Évora";"EN 114 Km 182";"Graça do Divor";"7000-000";38.575123;-7.982641
"FOROS DE AMORA";"Outro";"Seixal";"1,869 €";"CEPSA";"Gasolina especial 98";"2024-08-26 00:00";"Setúbal";"Estrada dos Foros de Amora - Amora";"Seixal";"2845-213";38.61069999;-9.12498338
"CEPSA S. Teotónio";"Outro";"Odemira";"1,939 €";"CEPSA";"Gasolina especial 98";"2024-09-01 00:00";"Beja";"Loteamento Industrial da Bemposta, Lote 7";"S. Teotónio";"7630-614";37.50998;-8.71566
"P37 - Q8 Balazar";"Outro";"Póvoa de Varzim";"1,774 €";"Q8";"Gasolina especial 98";"2024-09-30 09:35";"Porto";"Rua Dª Benta nº244";"Balasar";"4570-044";41.40736;-8.62569
"P40 - Q8 Santo Tirso";"Outro";"Santo Tirso";"1,739 €";"Q8";"Gasolina especial 98";"2024-10-07 09:15";"Porto";"Lugar de Cavadas";"Santo Tirso";"4780-419";41.342618;-8.493583
"P36 - Q8 Albergaria";"Outro";"Albergaria-a-Velha";"0,944 €";"Q8";"GPL Auto";"2024-10-28 10:05";"Aveiro";"Rua Dr. Quina Ferreira, 74";"Sobreiro";"3850-273";40.68506;-8.52139
"P38 - Mozelos";"Outro";"Santa Maria da Feira";"1,784 €";"Q8";"Gasolina especial 98";"2024-10-28 10:05";"Aveiro";"AV. Albertina Ferreira de Amorim, 642";"Mozelos";"4535-202";40.9884;-8.56967
"BP Pevidém";"Outro";"Guimarães";"1,119 €";"BP";"GPL Auto";"2024-12-02 15:40";"Braga";"Rua João Pereira Fernandes";"Selho S. Jorge - Pevidem";"4835-324";41.42508;-8.35169
"CIRCUNSTÂNCIA AZUL - Serra de Sto. António";"Outro";"Alcanena";"2,300 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2024-12-02 16:00";"Santarém";"Rua João Assunção nº 34";"Serra de Santo António";"2380-608";39.512302;-8.730592
"Cepsa Povoa Santarém";"Outro";"Santarém";"1,928 €";"CEPSA";"Gasolina 98";"2024-12-11 00:00";"Santarém";"EN 3 - Km 46";"Póvoa de Santarém";"2000-531";39.303;-8.68559
"BP - GUISANDE, S.M. FEIRA";"Outro";"Santa Maria da Feira";"2,044 €";"BP";"Gasolina 98";"2024-12-30 00:00";"Aveiro";"Rua de Fornos nº370";"Guisande";"4525-323";40.9781;-8.48164
"P19 - Q8 Rossas- Ermal";"Outro";"Vieira do Minho";"2,350 €";"PRIO";"Gasolina de mistura (motores a 2 tempos)";"2024-12-30 11:00";"Braga";"Lugar da Trasleira";"Trasleira";"4850-312";41.5706;-8.110082
"P15 - Q8 Vila Verde";"Outro";"Vila Verde";"2,320 €";"PRIO";"Gasolina de mistura (motores a 2 tempos)";"2024-12-30 11:00";"Braga";"Largo do Bom Retiro";"Vila Verde";"4730-729";41.65563;-8.431852
"GABARITO PRINCIPAL LDA";"Outro";"Mogadouro";"1,999 €";"SHELL";"Gasolina especial 98";"2025-01-06 07:40";"Bragança";"AVENIDA DO SABOR";"Mogadouro";"5200-204";41.345251;-6.705865
"AUTO MOURA Posto de Abastecimento GALP Carvalhosa";"Outro";"Paços de Ferreira";"2,250 €";"GALP";"Gasolina de mistura (motores a 2 tempos)";"2025-01-07 09:30";"Porto";"Rua Nª Srª do Rosário,197 (EN 209)";"Carvalhosa";"4590-055";41.29194;-8.37853
"Barreirinho - Pascoal";"Outro";"Viseu";"1,779 €";"Genérico";"Gasolina especial 98";"2025-01-10 09:15";"Viseu";"Avenida do alto de Abraveses - EN 16  Pascoal";"Pascoal";"3515-828";40.688106;-7.927116
"Almerindo Fernando Silva, Lda.";"Outro";"Macedo de Cavaleiros";"1,641 €";"GASPE";"Gasóleo de aquecimento";"2025-01-13 10:45";"Bragança";"Av. António Maria da Costa nº14 (EN 216)";"Chacim";"5340-092";41.46851;-6.8994
"OZ ENERGIA - SINTRA (Petrosintra)";"Outro";"Sintra";"1,629 €";"OZ Energia";"Biodiesel B15";"2025-01-17 19:40";"Lisboa";"EN 24 7(Av. 29 de Agosto nº 16-18)";"Terrugem";"2705-869";38.84008;-9.37349
"hacked by cyberteam";"Outro";"Barcelos";"2,100 €";"BP";"Gasolina de mistura (motores a 2 tempos)";"2025-01-20 00:00";"Braga";"Lugar do Monte";"Lugar do Monte - Lijó";"4750-531";41.563144;-8.600886
