Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica de Tebosa, Braga",Lugar de Igreja,4700-895,Parada De Tibães,253286404,eb1.igrejatebosa@escolas.min-edu.pt,150964,"Agrupamento de Escolas de Trigal de Santa Maria, Braga",Não,11
"Escola Artística do Conservatório de Música Calouste Gulbenkian, Braga",Rua da Fundação Gulbenkian,4710-394,Braga,253600540,servicos@cmgulbenkian.edu.gov.pt,404251,"Escola Artística do Conservatório de Música Calouste Gulbenkian, Braga",Não,1
"Escola Básica do Fujacal, Braga",Rua do Fujacal - S.José de S. Lázaro,4705-097,Braga,253267399,eb1.n12.braga@escolas.min-edu.pt,150952,"Agrupamento de Escolas André Soares, Braga",Não,5
"Escola Básica das Parretas, Braga",Rua de São Valério,4700-295,Braga,253610089,eb1.n33.braga@escolas.min-edu.pt,151725,"Agrupamento de Escolas de Real, Braga",Não,9
"Escola Básica de Lomar, Braga",R. José Lopes Silva Granja-Lomar,4700-000,Braga,253685077,eb1.n15.braga@escolas.min-edu.pt,150976,"Agrupamento de Escolas Alberto Sampaio, Braga",Não,11
"Escola Básica de Gondizalves, Braga",Rua do Assento,n.º 4,4705-001,253691768,eb1.n14.braga@escolas.min-edu.pt,150721,"Agrupamento de Escolas de Maximinos, Braga",Não,7
"Escola Básica de Panoias, Braga",Lg de Assento,4700-760,Panoias Brg,253625470,eb1.assentopanoias@escolas.min-edu.pt,151713,"Agrupamento de Escolas de Mosteiro e Cávado, Braga",Não,9
"Escola Básica de Tenões, Braga",Rua da Calçada,nº 21 -Tenões,4715-057,253678431,eb1.n21.braga@escolas.min-edu.pt,150990,"Agrupamento de Escolas Dona Maria II, Braga",Não,10
"Escola Básica de Fraião, Braga",R. da Boavista-Fraião,4715-130,Braga,253686795,eb1.n19.braga@escolas.min-edu.pt,150976,"Agrupamento de Escolas Alberto Sampaio, Braga",Não,11
"Escola Básica do Carandá, Braga",Rua Américo Ferreira de Carvalho,4715-213,Braga,253619461,eb1.n34.braga@escolas.min-edu.pt,150952,"Agrupamento de Escolas André Soares, Braga",Não,5
"Escola Básica de Arentim, Braga",Luagr de Crasto,4700-500,Palmeira Brg,253952607,eb1.crastoarentim@escolas.min-edu.pt,150964,"Agrupamento de Escolas de Trigal de Santa Maria, Braga",Não,11
"Escola Básica da Gandra, Braga",R. Dr. Augusto César Cerqueira Gomes-Ferreiros,4705-093,Braga,253693128,eb1.n24.gandra@escolas.min-edu.pt,150721,"Agrupamento de Escolas de Maximinos, Braga",Não,7
"Escola Básica de Estação, Tadim, Braga",R. General Humberto Delgado,4705-671,Tadim,253672131,eb1.n2.padrao@escolas.min-edu.pt,150964,"Agrupamento de Escolas de Trigal de Santa Maria, Braga",Não,11
Colégio José Álvaro Vidal,Quinta de Santa Maria - Rua Maria Eduarda Segura de Faria,N.º 2,Alverca Do Ribatejo,219589130,fundacao@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica do Casal da Serra, Póvoa de Santa Iria, Vila Franca de Xira",Rua Rafael Bordalo Pinheiro - Casal da Serra,Póvoa De Santa Iria,2625-092,219593850,eb.casaldaserra@escolas.min-edu.pt,170781,"Agrupamento de Escolas Póvoa de Santa Iria, Vila Franca de Xira",Não,8
"Escola Básica de Póvoa de Santa Iria Norte, Vila Franca de Xira",Póvoa de Santa Iria,Póvoa De Santa Iria,2625-000,219563255,eb1ji.stairianorte@escolas.min-edu.pt,170781,"Agrupamento de Escolas Póvoa de Santa Iria, Vila Franca de Xira",Não,8
