Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica António Graça, Barrô, Águeda",Rua dos Barrocos,Barrô Agd,3750-351,-,-,161962,Agrupamento de Escolas Águeda Sul,Não,7
"Escola Básica de Macinhata do Vouga, Águeda",Rua Dr. Manuel Pereira Graça,Macinhata Do Vouga,3750-593,234571654,eb1.macinhatavouga@escolas.min-edu.pt,160106,"Agrupamento de Escolas de Valongo do Vouga, Águeda",Não,3
"Escola Básica Professor Artur Nunes Vidal, Fermentelos, Águeda",R. Bela Vista,Fermentelos,3750-430,234722550,eb23.fermentelos@escolas.min-edu.pt,161962,Agrupamento de Escolas Águeda Sul,Não,7
"Escola Básica Fernando Caldeira, Águeda",Rua Heróis do Ultramar,3750-150,Águeda,234600780,servicos@aeagueda.edu.gov.pt,160908,Agrupamento de Escolas de Águeda,Sim,7
"Escola Básica de Recardães, Águeda",Rua do Passal,Recardães,3750-722,234624074,eb1.recardaes@escolas.min-edu.pt,160908,Agrupamento de Escolas de Águeda,Não,7
"Escola Básica de Travassô, Águeda",Rua Padre Camelo,3750-000,Águeda,234629605,eb1.taguadacima@escolas.min-edu.pt,161962,Agrupamento de Escolas Águeda Sul,Não,7
"Escola Básica de Aguada de Cima, Águeda",R. do Engenho,Aguada De Cima,3750-049,234666800,eb23.aguadacima@escolas.min-edu.pt,161962,Agrupamento de Escolas Águeda Sul,Não,7
"Escola Básica de Aguada de Baixo, Águeda",Av. José Augusto Rodrigues Seabra,46,Aguada De Baixo,234666717,eb1.aguadabaixo@escolas.min-edu.pt,161962,Agrupamento de Escolas Águeda Sul,Não,7
Instituto Duarte Lemos,Rua Duarte Lemos,Trofa Agd,3750-791,234646842,it.duartelemos@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Borralha, Águeda",Rua de São Tiago,Borralha,3750-852,234624972,eb1.borralhasantiago@escolas.min-edu.pt,160908,Agrupamento de Escolas de Águeda,Não,7
"Escola Básica de Assequins, Águeda",Rua da Escola,3750-304,Águeda,234603150,eb1.assequins@escolas.min-edu.pt,160908,Agrupamento de Escolas de Águeda,Não,7
Escola Básica de Águeda,Av. José Augusto Rodrigues Seabra,46,Aguada De Baixo,234666717,eb1.aguadabaixo@escolas.min-edu.pt,161962,Agrupamento de Escolas Águeda Sul,Não,7
"Escola Básica de Valongo do Vouga, Águeda",Av.ª da Escola,Trofa Agd,3750-791,234644752,eb1.sstrofavouga@escolas.min-edu.pt,160106,"Agrupamento de Escolas de Valongo do Vouga, Águeda",Não,3
"Escola Básica da Trofa, Águeda",Av.ª da Escola,Trofa Agd,3750-791,234644752,eb1.sstrofavouga@escolas.min-edu.pt,160106,"Agrupamento de Escolas de Valongo do Vouga, Águeda",Não,3
"Escola Básica de Alquerubim, Albergaria-a-Velha",Quinta de Alque - Fontes,Alquerubim,3850-365,-,-,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Albergaria-a-Nova, Albergaria-a-Velha",Rua da Escola,Branca Alb,3850-501,234540070,eb1.albergariaanova@escolas.min-edu.pt,160027,"Agrupamento de Escolas de Branca, Albergaria-a-Velha",Não,10
"Escola Básica de Santo António, Valmaior, Albergaria-a-Velha",Rua do Cruzeiro,Valmaior,3850-835,234524655,eb1.santoniovalmaior@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Fradelos, Albergaria-a-Velha",Rua de Padre António Dias Almeida (EM555-2),Branca Alb,3850-574,234542954,eb1.fradelosbranca@escolas.min-edu.pt,160027,"Agrupamento de Escolas de Branca, Albergaria-a-Velha",Não,10
"Escola Básica de São João de Loure, Albergaria-a-Velha",Estrada Nacional 320-2,São João De Loure,3850-772,234920190,ebi.sjoaoloure@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
Colégio de Albergaria,Rua do Colégio,3850-230,Albergaria-a-Velha,234523172,cl.albergaria@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Angeja, Albergaria-a-Velha",Rua da Várzea,Angeja,3850-451,234914075,eb1.angeja@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Sobreiro, Albergaria-a-Velha",Rua de S. Gonçalo,3850-259,Albergaria-a-Velha,234523200,eb1.saavelha@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
Escola Básica de Albergaria-a-Velha,Quinta de Alque - Fontes,Alquerubim,3850-365,-,-,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Igreja, Valmaior, Albergaria-a-Velha",Avenida Nossa Senhora da Luz,Valmaior,3850-835,234524601,eb1.igrejavalemaior@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Cruzinha, Albergaria-a-Velha",Rua da Cruzinha,3850-036,Albergaria-a-Velha,234524608,eb1.cruzinha@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Laginhas, Albergaria-a-Velha",Rua da Arroxada /Escusa,Branca Alb,3850-576,234542937,eb1.laginhas@escolas.min-edu.pt,160027,"Agrupamento de Escolas de Branca, Albergaria-a-Velha",Não,10
"Escola Básica de Campo, Albergaria-a-Velha",Rua da Escola,Ribeira De Fráguas,3850-703,234543199,eb1.cribeirafraguas@escolas.min-edu.pt,160027,"Agrupamento de Escolas de Branca, Albergaria-a-Velha",Não,10
"Escola Básica de Souto, Albergaria-a-Velha",Rua do Padre Conde,Branca Alb,3850-588,234542946,eb1.soutobranca@escolas.min-edu.pt,160027,"Agrupamento de Escolas de Branca, Albergaria-a-Velha",Não,10
"Escola Básica da Avenida, Albergaria-a-Velha",Av. Bernardino Máximo de Albuquerque,3850-017,Albergaria-a-Velha,234524604,-,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Paredes do Bairro, Anadia",Prolongamento da Rua da Confraria,Paredes Do Bairro,3780-611,-,-,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Avelãs de Cima, Anadia",Avelãs de Cima,Avelãs De Cima,3780-401,-,-,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Sangalhos, Anadia",Rua Ivo Neves,Sangalhos,3780-524,-,-,160910,Agrupamento de Escolas de Anadia,Não,21
