id,type,name,latitude,longitude,capacity,access
62950557,node,,41.1975084,-8.670045,,
250105488,node,,40.0862772,-8.3224663,,
253485918,node,,40.1454557,-8.4054464,,
256842588,node,,38.6681901,-9.1662368,,
256842651,node,,38.6681767,-9.1670179,,
257666658,node,,38.672139,-9.1575959,,
258038723,node,,38.6992519,-9.2264169,,
258064854,node,,38.9502937,-8.9906418,,
258421842,node,,38.6728993,-9.2349485,,
259102036,node,,38.6415013,-9.1518582,,
262229026,node,,38.585184,-8.917821,,
262369967,node,,38.7602994,-9.1599736,,
262369984,node,,38.762093,-9.162128,,
268088325,node,,38.8024714,-9.1614477,,
277799939,node,,38.8040037,-9.1638326,,
277799957,node,,38.8044976,-9.1639157,,
277834790,node,,38.7327343,-9.1206452,,
278285746,node,,38.8033035,-9.1634659,,
278285852,node,,38.8043679,-9.1616987,,
288194141,node,,41.4809016,-7.9570311,,
288201150,node,,41.3825431,-7.8596995,,
289140006,node,,32.7689898,-16.9110418,,
289727530,node,,32.7941416,-16.8492449,,
298351858,node,,32.7111118,-16.8957167,,
298458057,node,,38.7606196,-9.2397098,,
298458078,node,,38.7598022,-9.2384212,,
298513179,node,,38.7585109,-9.2460478,,
299820284,node,Lombada Church,32.6893639,-17.0916067,,
300300488,node,,32.6525237,-16.992122,,
300368122,node,,38.9611273,-9.4170938,,yes
310633324,node,,38.7005076,-9.4181147,,yes
314916148,node,,32.6534233,-16.8409542,,
314916156,node,,32.6534644,-16.8417512,,
318652014,node,,32.6997882,-17.1327227,,private
320406843,node,,38.7009189,-9.3086801,,
322144255,node,Algarve Shopping,37.1282798,-8.279991,,
329851108,node,,38.953046,-9.3340408,,
329853613,node,,38.9321929,-9.3284198,,
333129471,node,,32.8025059,-17.0451074,,
333129472,node,,32.802806,-17.045532,,
337855476,node,,32.7341745,-17.061792,,
349354081,node,,37.316517,-8.5549216,,
355666493,node,,38.7461053,-9.1357538,,
359852567,node,,32.7197247,-17.0301561,,
386118698,node,Porca Preta,37.3289606,-8.526967,4,customers
388645601,node,,37.3248071,-8.8027804,,yes
404542757,node,,32.7335993,-16.8870322,8,yes
406324162,node,,32.8514337,-17.1665836,8,yes
406350985,node,Chisto Rei,32.7407497,-17.1012243,,yes
410070613,node,,41.5546584,-8.3812239,,
410631182,node,,40.3603759,-7.3490742,,
419259836,node,,38.5130097,-28.5295149,,
430157200,node,,37.1367913,-8.5373068,,yes
444504953,node,,40.090323,-7.8500309,,
453557432,node,,39.8240467,-7.487655,105,
455517328,node,,37.2962776,-8.8684044,,
455747035,node,,37.9513909,-8.8746196,,
455747046,node,,37.9566053,-8.8702022,,
457142454,node,,33.0595438,-16.3346376,,
462263384,node,,39.8211156,-7.4866926,,
470286256,node,,39.8330369,-7.4959891,,
470286257,node,,39.8333888,-7.4948135,,
470316339,node,,39.8879713,-7.4880763,,
471808121,node,,39.8240391,-7.4918091,,
473652963,node,,39.82672,-7.4988899,,customers
479250917,node,,37.0914298,-8.9320321,8,
479937478,node,,39.8229498,-7.492024,,
480436636,node,Parque do Mosteiro,41.3445855,-8.3691042,,
483544523,node,,41.3614521,-8.4032877,,
490890980,node,,41.3653929,-8.3630908,,
493844975,node,,41.3792239,-8.3098393,,
