Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica Fernando Caldeira, Águeda",Rua Heróis do Ultramar,3750-150,Águeda,234600780,servicos@aeagueda.edu.gov.pt,160908,Agrupamento de Escolas de Águeda,Sim,7
"Escola Básica de Aguada de Cima, Águeda",R. do Engenho,Aguada De Cima,3750-049,234666800,eb23.aguadacima@escolas.min-edu.pt,161962,Agrupamento de Escolas Águeda Sul,Não,7
Instituto Duarte Lemos,Rua Duarte Lemos,Trofa Agd,3750-791,234646842,it.duartelemos@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Valongo do Vouga, Águeda",Av.ª da Escola,Trofa Agd,3750-791,234644752,eb1.sstrofavouga@escolas.min-edu.pt,160106,"Agrupamento de Escolas de Valongo do Vouga, Águeda",Não,3
"Escola Básica de São João de Loure, Albergaria-a-Velha",Estrada Nacional 320-2,São João De Loure,3850-772,234920190,ebi.sjoaoloure@escolas.min-edu.pt,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Branca, Albergaria-a-Velha",Rua da Escola,Ribeira De Fráguas,3850-703,234543199,eb1.cribeirafraguas@escolas.min-edu.pt,160027,"Agrupamento de Escolas de Branca, Albergaria-a-Velha",Não,10
Colégio de Albergaria,Rua do Colégio,3850-230,Albergaria-a-Velha,234523172,cl.albergaria@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica de Albergaria-a-Velha,Quinta de Alque - Fontes,Alquerubim,3850-365,-,-,160003,Agrupamento de Escolas de Albergaria-a-Velha,Não,12
"Escola Básica de Vilarinho do Bairro, Anadia",R. S. Miguel,Vilarinho Do Bairro,3780-599,231959532,eb23.vilarinhobairro@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
Escola Básica e Secundária de Anadia,Rua Almas das Domingas,nº 4,Tamengos,231081933,servicos@aeanadia.edu.gov.pt,160910,Agrupamento de Escolas de Anadia,Sim,21
Colégio de Nossa Senhora da Assunção,R. S José de Cluny,3780-292,Anadia,231510500,cl.nsraassuncao@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária de Escariz, Arouca",Escariz - Arouca,Escariz,4540-320,-,-,151622,-,-,-
Escola Básica de Arouca,Escariz - Arouca,Escariz,4540-320,256920300,servicos@aeescariz.edu.gov.pt,151622,"Agrupamento de Escolas de Escariz, Arouca",Sim,5
"Escola Básica João Afonso, Aveiro",Rua das Pombas,3810-150,Aveiro,234379920,eb23.joaoafonso@escolas.min-edu.pt,160933,Agrupamento de Escolas de Aveiro,Não,7
"Escola Básica de Aradas, Aveiro",R. das Leirinhas,3810-425,Aveiro,234427096,eb1.leirinhasaradas@escolas.min-edu.pt,160015,"Agrupamento de Escolas Doutor Mário Sacramento, Aveiro",Não,7
"Escola Básica de Eixo, Aveiro",Rua do Sobral,3800-879,Requeixo,234932449,eb1.requeixo@escolas.min-edu.pt,160131,"Agrupamento de Escolas de Eixo, Aveiro",Não,4
"Escola Básica n.º 2 de São Bernardo, Aveiro",R. da Cabreira,3810-071,Aveiro,234342384,eb1.sbernardo@escolas.min-edu.pt,160957,"Agrupamento de Escolas José Estêvão, Aveiro",Não,6
"Escola Básica e Secundária Dr. Jaime Magalhães Lima, Esgueira, Aveiro",Rua Padre José Maria Taborda,3804-506,Aveiro,234302480,servicos@aee.edu.gov.pt,160945,"Agrupamento de Escolas de Esgueira, Aveiro",Sim,5
"Escola Básica Castro Matoso, Oliveirinha, Aveiro",Rua Profª Justa Dias,3810-867,Oliveirinha,234940180,servicos@aeo.edu.gov.pt,160120,"Agrupamento de Escolas de Oliveirinha, Aveiro",Sim,8
Colégio D. José I,R. Frei Tomé de Jesus,nº 11,3000-195,239852330,cl.sjosecoimbra@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Rio Novo do Príncipe, Cacia, Aveiro",Rua Condessa de Taboeira,3800-051,Aveiro,234912675,eb1.tabueira@escolas.min-edu.pt,160039,"Agrupamento de Escolas Rio Novo do Príncipe, Cacia, Aveiro",Não,5
Colégio Português (ENSIGEST)- Empreendimentos Educativos Lda,Rua Nossa Srª das Necessidades,s/n Quinta do Simão,3800-317,234310324,cl.ensigest@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica e Secundária de Castelo de Paiva,Rua Strecht Vasconcelos,147 Sobrado,4550-150,-,-,151312,-,-,-
"Escola Básica de Couto Mineiro do Pejão, Raiva, Castelo de Paiva",Rua da Vista Alegre,Raiva,4550-631,255762578,eb1.raiva@escolas.min-edu.pt,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",Não,7
"Escola Básica e Secundária Dr. Manuel Laranjeira, Espinho",Praceta Dr. Manuel Laranjeira,4500-023,Espinho,227330830,servicos@aemlaranjeira.edu.gov.pt,151361,"Agrupamento de Escolas Doutor Manuel Laranjeira, Espinho",Sim,4
Academia de Música de Espinho,Rua 34,nº 884,4500-318,227340469,acm.espinho@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária Dr. Manuel Gomes Almeida, Espinho",Rua 35,4504-852,Espinho,227340580,servicos@aemalmeida.edu.gov.pt,151336,"Agrupamento de Escolas Doutor Manuel Gomes de Almeida, Espinho",Sim,5
"Escola Básica Sá Couto, Espinho",Rua 34,4504-854,Espinho,227330150,eb23.sacouto@escolas.min-edu.pt,151361,"Agrupamento de Escolas Doutor Manuel Laranjeira, Espinho",Não,4
"Escola Básica e Secundária Domingos Capela, Silvalde, Espinho",R. D. Dinis,4500-643,Espinho,227342945,eb23.domingoscapela@escolas.min-edu.pt,151336,"Agrupamento de Escolas Doutor Manuel Gomes de Almeida, Espinho",Não,5
"Escola Básica Padre Donaciano Abreu Freire, Estarreja",Rua da Arrotinha,nº14 - Apartado 25,3860-207,234840640,eb23.pdabreufreire@escolas.min-edu.pt,160155,Agrupamento de Escolas de Estarreja,Não,6
"Escola Básica Professor Doutor Egas Moniz, Avanca, Estarreja",Rua do Morgado,120,Avanca,234850120,eb23.pfdregasmoniz@escolas.min-edu.pt,160155,Agrupamento de Escolas de Estarreja,Não,6
"Escola Básica de Pardilhó, Estarreja",R. Padre Garrido,Pardilhó,3860-464,234850150,servicos@aepardilho.edu.gov.pt,160519,"Agrupamento de Escolas de Pardilhó, Estarreja",Sim,1
"Escola Básica de Corga do Lobão, Santa Maria da Feira",Avª. Igreja,nº303 - Vale,Vale Vfr,256921508,eb1.n1.vale@escolas.min-edu.pt,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",Não,7
"Escola Básica António Alves de Amorim, Lourosa, Santa Maria da Feira",Av. das Cruzes,Lourosa,4535-011,227646272,eb1.igrejalourosa@escolas.min-edu.pt,150356,"Agrupamento de Escolas António Alves de Amorim, Santa Maria da Feira",Não,8
"Escola Básica de Canedo, Santa Maria da Feira",Rua do Padrão S/N,Lourosa,4535-000,-,-,151294,-,-,-
"Escola Básica Professor Doutor Ferreira de Almeida, Santa Maria da Feira",R.Prémio Nobel da Paz 1996-D. Ximenes Belo,Dr. Ramos Horta,4520-240,256374020,eb23.pdcafalmeida@escolas.min-edu.pt,151660,Agrupamento de Escolas de Santa Maria da Feira,Não,8
Colégio das Terras de Santa Maria,Rua da Azenha,315,Argoncilhe,227648187,cl.terrasstamaria@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária de Arrifana, Santa Maria da Feira",Rua Amadeu Joaquim Gonçalves,Arrifana Vfr,3700-420,256812227,servicos@aearrifana.edu.gov.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Sim,13
"Escola Básica e Secundária Coelho e Castro, Fiães, Santa Maria da Feira",R. Coelho e Castro,25 Apartado 75,Fiães Vfr,227448501,servicos@aecoelhocastro.edu.gov.pt,151350,"Agrupamento de Escolas Coelho e Castro, Santa Maria da Feira",Sim,8
"Escola Básica Fernando Pessoa, Santa Maria da Feira",Rua 13 de Agosto,Souto Vfr,4520-715,256801610,eb1.valrico@escolas.min-edu.pt,151671,"Agrupamento de Escolas Fernando Pessoa, Santa Maria da Feira",Não,15
"Escola Básica de Argoncilhe, Santa Maria da Feira",Rua das Escolas do Carvalhal,Argoncilhe,4505-122,227640650,eb1.ceb1argoncilhe@escolas.min-edu.pt,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",Não,11
"Escola Básica de Milheirós de Poiares, Santa Maria da Feira",Rua Casa da Mámoa,nº 182,Milheirós De Poiares,256840300,eb23.mpoiares@escolas.min-edu.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Não,13
Colégio de Lamas,Rua Salgueirinha,Lourosa,4535-000,227470210,cl.licealstamlamas@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Paços de Brandão, Santa Maria da Feira",Av. Dr. Domingos Coelho,17,São Paio De Oleiros,227443499,eb1.n1.ispaiooleiros@escolas.min-edu.pt,150563,"Agrupamento de Escolas de Paços de Brandão, Santa Maria da Feira",Não,11
Colégio Santa Eulália,Travessa da Rua do Castiis,110,Sanguedo,227471880,-,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Gafanha da Encarnação, Ílhavo",R. da Igreja,Gafanha Do Carmo,3830-408,234391153,eb1.gafanhacarmo@escolas.min-edu.pt,160970,"Agrupamento de Escolas de Gafanha da Encarnação, Ílhavo",Não,8
"Escola Básica de Gafanha da Nazaré, Ílhavo",R. Luís de Camões,Gafanha Da Nazaré,3830-694,234361146,eb1.calevila@escolas.min-edu.pt,160982,"Agrupamento de Escolas de Gafanha da Nazaré, Ílhavo",Não,8
"Escola Básica José Ferreira Pinto Basto, Ílhavo",Rua Gabriel Ançã,3830-197,Ílhavo,234329810,eb23.ilhavo@escolas.min-edu.pt,160994,Agrupamento de Escolas de Ílhavo,Não,9
"Escola Básica n.º 2 de Pampilhosa, Mealhada",Rua do Rio de Cima,Pampilhosa,3050-415,231940928,-,161007,Agrupamento de Escolas de Mealhada,Não,15
Escola Básica n.º 2 de Mealhada,Rua do Areeiro nº114,Barcouço,3050-094,239914806,eb1.barcouco@escolas.min-edu.pt,161007,Agrupamento de Escolas de Mealhada,Não,15
"Escola Básica de Torreira, Murtosa",Av. da Circunvalação,Torreira,3870-336,234830010,ebiji.torreira@escolas.min-edu.pt,161020,Agrupamento de Escolas de Murtosa,Não,4
"Escola Básica e Secundária Padre António Morais da Fonseca, Murtosa",Rua da Saldida-Monte - Apartado 11,3870-153,Murtosa,234830020,servicos@aemurtosa.edu.gov.pt,161020,Agrupamento de Escolas de Murtosa,Sim,4
"Escola Básica Dr. José Pereira Tavares, Pinheiro da Bemposta, Oliveira de Azeméis",Rua Padre Bernardo Xavier Coutinho,Pinheiro Da Bemposta,3720-464,256990170,eb23.djptavares@escolas.min-edu.pt,151609,"Agrupamento de Escolas de Loureiro, Oliveira de Azeméis",Não,9
"Escola Básica de Loureiro, Alumieira, Oliveira de Azeméis",Rua do Borão,Loureiro Oaz,3720-051,256691388,eb1.aloureiro@escolas.min-edu.pt,151609,"Agrupamento de Escolas de Loureiro, Oliveira de Azeméis",Não,9
"Escola Básica e Secundária Ferreira de Castro, Oliveira de Azeméis",Rua Dr. Silva Lima - Lações de Cima,3720-298,Oliveira de Azeméis,256666070,servicos@aeoliveira-azemeis.edu.gov.pt,153047,"Agrupamento de Escolas Ferreira de Castro, Oliveira de Azeméis",Sim,7
"Escola Básica Comendador Ângelo Azevedo, Oliveira de Azeméis",Rua das Sardinheiras nº 10 - Apartado 60,Vila De Cucujães,3720-904,-,-,151324,-,-,-
"Escola Básica e Secundária Soares Basto, Oliveira de Azeméis",Rua General Humberto Delgado,3720-254,Oliveira de Azeméis,256600590,servicos@soaresbasto.edu.gov.pt,151658,"Agrupamento de Escolas Soares Basto, Oliveira de Azeméis",Sim,6
"Escola Básica e Secundária de Fajões, Oliveira de Azeméis",Rua Profº Veiga Simão,Fajões,3700-355,256850450,servicos@aefajoes.edu.gov.pt,151348,"Agrupamento de Escolas de Fajões, Oliveira de Azeméis",Sim,10
"Escola Básica de Carregosa, Oliveira de Azeméis",Avenida da República,nº 217 - Apartado 23 - PC Carregosa,Carregosa,256410450,eb23.carregosa@escolas.min-edu.pt,151348,"Agrupamento de Escolas de Fajões, Oliveira de Azeméis",Não,10
"Escola Básica e Secundária Dr. Ferreira da Silva, Cucujães, Oliveira de Azeméis",Rua Dr. Ferreira da Silva,Vila De Cucujães,3720-767,256890327,servicos@aefsilva.edu.gov.pt,151324,"Agrupamento de Escolas Doutor Ferreira da Silva, Oliveira de Azeméis",Sim,8
"Escola Básica Dr. Acácio de Azevedo, Oliveira do Bairro",R. Acácio de Azevedo,nº 28,3770-213,234747747,servicos@aeobairro.edu.gov.pt,160568,Agrupamento de Escolas de Oliveira do Bairro,Sim,12
"Escola Básica Dr. Fernando Peixinho, Oiã, Oliveira do Bairro",Rua da Escola C+S,Oiã,3770-059,234729580,eb23.dfpeixinho@escolas.min-edu.pt,160568,Agrupamento de Escolas de Oliveira do Bairro,Não,12
"Escola Básica de Maceda, Ovar",Rua da Escola Primária,Maceda,3885-717,256791114,eb1.estradamaceda@escolas.min-edu.pt,161949,Agrupamento de Escolas de Esmoriz/Ovar Norte,Não,13
"Escola Básica Monsenhor Miguel de Oliveira, Válega, Ovar",R. Padre Eloi Pinho,Válega,3880-514,256503247,eb23.migueloliveira@escolas.min-edu.pt,161950,Agrupamento de Escolas de Ovar Sul,Não,5
