type,id,lat,lon,tags/level,tags/name,tags/railway,tags/wheelchair,tags/operator,tags/public_transport,tags/station,tags/subway,tags/website,tags/wikidata,tags/wikipedia,tags/name:de,tags/start_date,tags/door,tags/indoor,tags/stairs,tags/addr:city,tags/source,tags/check_date:wheelchair,tags/highway,tags/addr:postcode,tags/access,tags/elevator,tags/official_name,tags/platforms,tags/entrance,tags/barrier,tags/tactile_paving,tags/bicycle,tags/toilets:wheelchair,tags/network,tags/layer
node,33360557,38.7106554,-9.1390845,0,Baixa-Chiado,subway_entrance,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256976574,38.737684,-9.1592473,,Praça de Espanha,station,,Metropolitano de Lisboa,station,subway,yes,https://www.metrolisboa.pt/viajar/praca-de-espanha/,Q605303,pt:Estação Praça de Espanha,,,,,,,,,,,,,,,,,,,,,
node,256978160,38.7420882,-9.1689132,,Jardim Zoológico,station,,Metropolitano de Lisboa,station,subway,yes,https://www.metrolisboa.pt/viajar/jardim-zoologico/,Q2037057,pt:Estação Jardim Zoológico,Zoologischer Garten,,,,,,,,,,,,,,,,,,,,
node,256978165,38.7482497,-9.1730362,,Laranjeiras,station,no,Metropolitano de Lisboa,station,subway,yes,https://www.metrolisboa.pt/viajar/alto-dos-moinhos/,Q962631,pt:Estação Laranjeiras,,,,,,,,,,,,,,,,,,,,,
node,256978170,38.7498954,-9.1797946,,Alto dos Moinhos,station,,Metropolitano de Lisboa,station,subway,yes,https://www.metrolisboa.pt/viajar/alto-dos-moinhos/,Q639045,pt:Estação Alto dos Moinhos,,,,,,,,,,,,,,,,,,,,,
node,256979289,38.7592285,-9.1927134,,Carnide,station,limited,Metropolitano de Lisboa,station,subway,yes,https://www.metrolisboa.pt/viajar/carnide/,Q1659995,pt:Estação Carnide,,,,,,,,,,,,,,,,,,,,,
node,256981325,38.7584244,-9.2183301,,Amadora Este,station,,Metropolitano de Lisboa,station,subway,yes,https://www.metrolisboa.pt/viajar/amadora-este/,Q1399674,pt:Estação Amadora Este,,15/05/2004,,,,,,,,,,,,,,,,,,,
node,265290986,38.7105685,-9.1420642,-0.4,Baixa-Chiado,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,376031049,38.7380153,-9.1601944,,Praça de Espanha,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,376811849,38.7153799,-9.1409911,,Restauradores,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,376811870,38.7151077,-9.1415437,,Restauradores,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,494451977,38.7421755,-9.1686961,,Jardim Zoológico,subway_entrance,,,,,,,,,Zoologischer Garten,,,,,,,,,,,,,,,,,,,,
