type,id,lat,lon,tags/level,tags/name,tags/railway,tags/wheelchair,tags/public_transport,tags/subway,tags/network,tags/operator,tags/station,tags/website,tags/wikidata,tags/wikipedia,tags/name:de,tags/start_date,tags/door,tags/indoor,tags/stairs,tags/addr:city,tags/source,tags/layer,tags/check_date:wheelchair,tags/highway,tags/addr:postcode,tags/access,tags/elevator,tags/official_name,tags/gtfs:stop_id,tags/light_rail,tags/operator:wikidata,tags/ref:zone,tags/platforms,tags/entrance,tags/barrier,tags/tactile_paving,tags/wikimedia_commons,tags/alt_name:de,tags/name:en,tags/name:es,tags/name:fr,tags/name:it,tags/name:pt,tags/alt_name,tags/name:ko,tags/addr:street,tags/internet_access,tags/local_ref,tags/architect,tags/location,tags/bicycle,tags/construction:public_transport,tags/construction:railway,tags/toilets:wheelchair
node,33360557,38.7106554,-9.1390845,0,Baixa-Chiado,subway_entrance,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,146311452,38.79326,-9.1730002,,Odivelas,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,146311461,38.7856218,-9.1718324,2,Senhor Roubado,stop,,stop_position,yes,Metropolitano de Lisboa,"Metropolitano de Lisboa, E.P.E.",subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,245937922,38.7793175,-9.1596348,,Ameixoeira,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,245937941,38.7733991,-9.1593372,,Lumiar,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246763946,38.7514975,-9.159114,,Cidade Universitária,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246763964,38.7470271,-9.1481984,,Entrecampos,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246763968,38.7411137,-9.1467947,,Campo Pequeno,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,247051839,38.7201088,-9.1548457,,Rato,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256674213,38.7295152,-9.150259,,Parque,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256972634,38.7394453,-9.1239422,,Olaias,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256975148,38.7475415,-9.1176782,,Bela Vista,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256975157,38.7548276,-9.1138872,,Chelas,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256975169,38.7629773,-9.1040551,,Cabo Ruivo,stop,,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
