id,nome,distrito,municipio,ano de escolaridade,privado/publico
id,"Escola Básica António Graça, Barrô, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica da Trofa, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Aguada de Baixo, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Aguada de Cima, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,Escola Básica de Águeda,Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Assequins, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Borralha, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Macinhata do Vouga, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Recardães, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Travassô, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Valongo do Vouga, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica Fernando Caldeira, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica Professor Artur Nunes Vidal, Fermentelos, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,Instituto Duarte Lemos,Aveiro,Águeda,1º Ciclo,Privado
id,Colégio de Albergaria,Aveiro,Albergaria-a-Velha,1º Ciclo,Privado
id,"Escola Básica da Avenida, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Albergaria-a-Nova, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,Escola Básica de Albergaria-a-Velha,Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Alquerubim, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Angeja, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Campo, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Cruzinha, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Fradelos, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Igreja, Valmaior, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Laginhas, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Santo António, Valmaior, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de São João de Loure, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Sobreiro, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,"Escola Básica de Souto, Albergaria-a-Velha",Aveiro,Albergaria-a-Velha,1º Ciclo,Público
id,Colégio de Nossa Senhora da Assunção,Aveiro,Anadia,1º Ciclo,Privado
id,"Escola Básica de Aguim, Anadia",Aveiro,Anadia,1º Ciclo,Público
id,Escola Básica de Anadia,Aveiro,Anadia,1º Ciclo,Público
id,"Escola Básica de Avelãs de Cima, Anadia",Aveiro,Anadia,1º Ciclo,Público
